authorMeta/fans,authorMeta/following,authorMeta/heart,musicMeta/musicOriginal,searchHashtag/name,playCount,webVideoUrl
11100000,103,156600000,TRUE,love,102300000,https://www.tiktok.com/@texasbeeworks/video/6938831081684651269
405600,41,13400000,TRUE,love,67300000,https://www.tiktok.com/@leonishakupafd/video/6910966324600573189
726600,1151,11900000,TRUE,love,73000000,https://www.tiktok.com/@samfit_smith/video/6884794964992216325
986700,947,16200000,FALSE,love,61600000,https://www.tiktok.com/@quincyazzario/video/6864844170083765509
2500000,18,135100000,TRUE,love,40700000,https://www.tiktok.com/@smileyjordynrylee/video/6906251621408263429
1700000,1401,15200000,TRUE,love,39200000,https://www.tiktok.com/@evedc18/video/6799395063525838085
3500000,2,56000000,FALSE,love,64100000,https://www.tiktok.com/@drtom83/video/7057547346854432047
1200000,15,19600000,TRUE,love,97500000,https://www.tiktok.com/@chetanpatil4/video/6796644985698585858
753100,3094,20000000,TRUE,love,57400000,https://www.tiktok.com/@theparrotlady/video/6942832516713745670
14300000,15,346700000,FALSE,love,236600000,https://www.tiktok.com/@angelrai07/video/6788835265810091266
1800000,119,26600000,TRUE,love,87200000,https://www.tiktok.com/@joelmoaca/video/6909436643338407169
6500000,124,76000000,TRUE,love,107200000,https://www.tiktok.com/@serovski_nikita/video/6852379643350158598
2200000,0,49200000,TRUE,love,91500000,https://www.tiktok.com/@joker.me1/video/7043658150142037254
171200,130,9100000,TRUE,love,36700000,https://www.tiktok.com/@arianavjimenez/video/6899174332027686150
22400000,26,375600000,TRUE,love,85700000,https://www.tiktok.com/@mingweirocks/video/6885739308779670785
4000000,97,113700000,TRUE,love,94900000,https://www.tiktok.com/@safarisammie/video/7091381150156901678
14000000,192,294200000,FALSE,love,110600000,https://www.tiktok.com/@joshuamonis/video/7023414930414079237
11000000,797,317700000,FALSE,love,105500000,https://www.tiktok.com/@mamalindy/video/7096263881483390251
286100,0,8900000,FALSE,love,44200000,https://www.tiktok.com/@comeatmebhai/video/6988689618078027014
3500000,417,35400000,TRUE,follow,120500000,https://www.tiktok.com/@official.gt.detailing/video/6981636737554533637
921000,97,13000000,FALSE,follow,146600000,https://www.tiktok.com/@duduyuzaitt/video/6899483984619638021
376600,593,6000000,TRUE,follow,14000000,https://www.tiktok.com/@chiruzz/video/6901274044042185986
286100,0,8900000,FALSE,follow,44200000,https://www.tiktok.com/@comeatmebhai/video/6988689618078027014
2100000,116,44500000,TRUE,follow,144100000,https://www.tiktok.com/@relaxedbryan/video/6957882564694658309
810700,68,13300000,TRUE,follow,26500000,https://www.tiktok.com/@nannanbabs/video/6923966404261678342
461800,1490,8200000,TRUE,follow,40300000,https://www.tiktok.com/@scottish_mychka/video/6932900555958406405
290900,84,7400000,TRUE,follow,47500000,https://www.tiktok.com/@i_cantblink/video/6889482866539908358
1700000,4509,39700000,TRUE,follow,27300000,https://www.tiktok.com/@yesyesyesblingingboss/video/6968470092023598341
154600,620,6300000,TRUE,follow,66900000,https://www.tiktok.com/@toniaricas/video/6914732768874269953
365300,104,17900000,TRUE,follow,33300000,https://www.tiktok.com/@dgthekiwi/video/6902509057228197125
9100000,4163,311900000,TRUE,follow,31800000,https://www.tiktok.com/@baby_simba47/video/6911125952009440517
161800,462,5900000,FALSE,follow,30200000,https://www.tiktok.com/@kristenbonneau/video/6830530209419185414
114800,84,8900000,TRUE,follow,25600000,https://www.tiktok.com/@melanyxo/video/6963976263715343622
826300,459,25200000,TRUE,follow,31000000,https://www.tiktok.com/@allthingsequestrian93/video/6893554827855498498
945600,27,33600000,TRUE,follow,20200000,https://www.tiktok.com/@animationn.zone/video/7095121345456983302
565100,9,15400000,TRUE,follow,49800000,https://www.tiktok.com/@cingpangley/video/7085829951336860955
689600,294,11000000,TRUE,follow,37200000,https://www.tiktok.com/@sydneeygray/video/6921903681176718598
43000,22,5000000,TRUE,follow,20300000,https://www.tiktok.com/@gizmoloen/video/6973441577389690117
55900,242,5100000,FALSE,follow,19700000,https://www.tiktok.com/@5dboundguys/video/6923388683894787334
4100000,203,161400000,TRUE,memesdaily,54700000,https://www.tiktok.com/@bob.reese/video/7009411857433873669
260000,4232,4300000,TRUE,memesdaily,18100000,https://www.tiktok.com/@octane_clipz/video/6931880634633751814
36800,23,3200000,TRUE,memesdaily,18400000,https://www.tiktok.com/@max.sfx_/video/7083990756364389638
